vpdmfId	journalTitle	nlmId	abbr	ISSN
1	AADE editors' journal	7708172	AADE Ed J	0160-6999
2	AANA journal	0431420	AANA J	0094-6354
3	AARN news letter	1251052	AARN News Lett	0001-0197
4	[Nihon shika hyoron] The Nippon dental review	19130390R	Nihon Shika Hyoron	0289-0909
5	Academia Peruana de Cirugia	14490460R	Acad Peru Cir	0001-3854
6	Academy review of the California Academy of Periodontology, United States Section, ARPA Internationale	7503275	Acad Rev Calif Acad Periodontol	0008-0810
7	Acarologia	14510400R	Acarologia	0044-586X
8	Acquisitions medicales recentes	0373054	Acquis Med Recent	0075-4463
9	Activitas nervosa superior	0400662	Act Nerv Super (Praha)	0001-7604
10	Acta allergologica	0370567	Acta Allergol	0001-5148
11	Acta anaesthesiologica	0340732	Acta Anaesthesiol	0001-5156
12	Acta anaesthesiologica Belgica	0421022	Acta Anaesthesiol Belg	0001-5164
13	Acta anaesthesiologica Scandinavica	0370270	Acta Anaesthesiol Scand	0001-5172
14	Acta anaesthesiologica Scandinavica. Supplementum	0370271	Acta Anaesthesiol Scand Suppl	0515-2720
15	Acta anatomica	0370272	Acta Anat (Basel)	0001-5180
16	Kaibogaku zasshi. Journal of anatomy	0413526	Kaibogaku Zasshi	0022-7722
17	Acta biochimica et biophysica; Academiae Scientiarum Hungaricae	0067725	Acta Biochim. Biophys. Acad. Sci. Hung.	XXXX-XXXX
18	Acta biochimica Polonica	14520300R	Acta Biochim. Pol.	0001-527X
19	Across the board	9877747	Across Board (NY)	0147-1554
20	Acta biologica Academiae Scientiarum Hungaricae	0370274	Acta Biol Acad Sci Hung	0001-5288
21	Academy of management review. Academy of Management	9877758	Acad Manage Rev	0363-7425
22	Acta biochimica et biophysica Hungarica	8701158	Acta Biochim. Biophys. Hung.	0237-6261
23	Acta biologiae experimentalis	1246764	Acta Biol Exp (Warsz)	0365-0820
24	Academy of Management journal. Academy of Management	7703609	Acad Manage J	0001-4273
25	Acta Belgica. Medica physica : organe officiel de la Societe royale belge de medecine physique et de rehabilitation	8307581	Acta Belg Med Phys	0771-5684
26	Shi yan sheng wu xue bao	0413570	Shi Yan Sheng Wu Xue Bao	0001-5334
27	Acta biologica Hungarica	8404358	Acta. Biol. Hung.	0236-5383
28	Acta biologica et medica	0370275	Acta Biol Med (Gdansk)	0065-1087
29	Acta biologica et medica Germanica	0370276	Acta Biol. Med. Ger.	0001-5318
30	Acta bio-medica de L'Ateneo parmense : organo della Societa di medicina e scienze naturali di Parma	8106323	Acta Biomed Ateneo Parmense	XXXX-XXXX
31	Acta biotheoretica	0421520	Acta Biotheor.	0001-5342
32	Acta cancerologica	0370300	Acta Cancerol (Lima)	1013-5545
33	Acta cardiologica	0370570	Acta Cardiol	0001-5385
34	Acta chemica Scandinavica. Series A: Physical and inorganic chemistry	0421761	Acta Chem Scand A	0302-4377
35	Acta chemica Scandinavica. Series B: Organic chemistry and biochemistry	0421265	Acta Chem. Scand., B, Org. Chem. Biochem.	0302-4369
36	Acta chirurgica Academiae Scientiarum Hungaricae	2984283R	Acta Chir Acad Sci Hung	0001-5431
37	Acta chirurgica Hungarica	8309977	Acta Chir Hung	0231-4614
38	Acta cardiologica. Supplementum	0376316	Acta Cardiol Suppl	0373-7934
39	Acta chirurgica Belgica	0370571	Acta Chir. Belg.	0001-5458
40	Acta chirurgica Italica	0370303	Acta Chir Ital	0001-5466
41	Acta chirurgica Iugoslavica	0372631	Acta Chir Iugosl	0354-950X
42	Acta chirurgiae orthopaedicae et traumatologiae Cechoslovaca	0407123	Acta Chir Orthop Traumatol Cech	0001-5415
43	Acta chirurgiae plasticae	0370301	Acta Chir Plast	0001-5423
44	Acta chirurgica Scandinavica	7906530	Acta Chir Scand	0001-5482
45	Acta chirurgica Scandinavica. Supplementum	0370305	Acta Chir Scand Suppl	0301-1860
46	Acta cientifica venezolana	0070154	Acta Cient. Venez.	0001-5504
47	Acta clinica Belgica	0370306	Acta Clin Belg	1784-3286
48	Acta clinica Belgica. Supplementum	0043523	Acta Clin Belg Suppl	0567-7386
49	Acta clinica odontologica : organo de difusion academica de Sociedad Antioquena de Endodoncistas ... [et al.]	8503035	Acta Clin Odontol	0120-9906
50	Acta crystallographica	0211526	Acta Crystallogr	0365-110X
51	Acta crystallographica. Section A, Crystal physics, diffraction, theoretical and general crystallography	0211627	Acta Crystallogr A	0567-7394
52	Acta cytologica	0370307	Acta Cytol.	0001-5547
53	Acta embryologiae et morphologiae experimentalis ("Halocynthia" Association")	8108943	Acta Embryol Morphol Exp	0391-9706
54	Acta dermatologica-Kyoto. English edition	0266344	Acta Dermatol Kyoto Engl Ed	0376-0189
55	Acta dermato-venereologica	0370310	Acta Derm. Venereol.	0001-5555
56	Acta dermato-venereologica. Supplementum	0370311	Acta Derm Venereol Suppl (Stockh)	0365-8341
57	Hifuka kiyo. Acta dermatologica	1305010	Hifuka Kiyo	0065-1176
58	Acta diabetologica latina	0123567	Acta Diabetol Lat	0001-5563
59	Acta embryologiae experimentalis	0236000	Acta Embryol Exp (Palermo)	0065-1184
60	Acta embryologiae et morphologiae experimentalis	0235532	Acta Embryol Morphol Exp	0567-7416
61	Acta endocrinologica	0370312	Acta Endocrinol.	0001-5598
62	Acta endocrinologica. Supplementum	0370313	Acta Endocrinol Suppl (Copenh)	0300-9750
63	Acta Europaea fertilitatis	1300660	Acta Eur. Fertil.	0587-2421
64	Acta gastro-enterologica Belgica	0414075	Acta Gastroenterol. Belg.	0001-5644
65	Acta gastroenterologica Latinoamericana	0261505	Acta Gastroenterol. Latinoam.	0300-9033
66	Acta genetica et statistica medica	0200600	Acta Genet Stat Med	0567-7440
67	Acta geneticae medicae et gemellologiae	0370314	Acta Genet Med Gemellol (Roma)	0001-5660
68	Acta gerontologica	7501996	Acta Gerontol (Milano)	0001-5741
69	Acta ginecologica	0370317	Acta Ginecol (Madr)	0001-5776
70	Acta gynaecologica et obstetrica Hispano-Lusitana	0147664	Acta Gynaecol Obstet Hisp Lusit	0001-5784
71	Acta haematologica	0141053	Acta Haematol.	0001-5792
72	Nihon Ketsueki Gakkai zasshi : journal of Japan Haematological Society	2984803R	Nippon Ketsueki Gakkai Zasshi	0001-5806
73	Acta haematologica Polonica	0262610	Acta Haematol Pol	0001-5814
74	Acta hepato-gastroenterologica	0340734	Acta Hepatogastroenterol (Stuttg)	0300-970X
75	Acta historica scientiarum naturalium et medicinalium	0416660	Acta Hist Sci Nat Med	0065-1311
76	Acta histochemica	0370320	Acta Histochem.	0065-1281
77	Acta iberica radiologica-cancerologica	0370321	Acta Iber Radiol Cancerol	0001-589X
78	Acta isotopica	0421025	Acta Isot (Padova)	0001-5911
79	Acta Leidensia	0413650	Acta Leiden.	0065-1362
80	Igaku kenkyu. Acta medica	0421144	Igaku Kenkyu	0076-597X
81	Acta medica Academiae Scientiarum Hungaricae	0370323	Acta Med Acad Sci Hung	0001-5989
82	Acta medica Austriaca	7501997	Acta Med. Austriaca	0303-8173
83	Acta medica Austriaca. Supplement	7502262	Acta Med Austriaca Suppl	0303-8181
84	Acute care	8412026	Acute Care	0254-0819
85	Acta medica et biologica	0243663	Acta Med. Biol. (Niigata)	0567-7734
86	Perspectives (Gerontological Nursing Association (Canada))	8500942	Perspectives	0831-7445
87	Acta medica Italica di medicina tropicale e subtropicale e di gastroenterologia	14540080R	Acta Med Ital Med Trop Subtrop Gastroenterol	0001-6039
88	Acta medica Iugoslavica	0370324	Acta Med Iugosl	0375-8338
89	Acta medicinae legalis et socialis	7611894	Acta Med Leg Soc (Liege)	0065-1397
90	Acta medica Nagasakiensia	0372633	Acta Med Nagasaki	0001-6055
91	Family practice research journal	8208228	Fam Pract Res J	0270-2304
92	Fetal therapy	8700083	Fetal Ther	0257-2788
93	Gynecological endocrinology : the official journal of the International Society of Gynecological Endocrinology	8807913	Gynecol. Endocrinol.	0951-3590
94	International journal of developmental neuroscience : the official journal of the International Society for Developmental Neuroscience	8401784	Int. J. Dev. Neurosci.	0736-5748
95	The Journal of the American Board of Family Practice / American Board of Family Practice	8807505	J Am Board Fam Pract	0893-8652
96	Journal of biological regulators and homeostatic agents	8809253	J. Biol. Regul. Homeost. Agents	0393-974X
97	Journal of bioluminescence and chemiluminescence	8612490	J. Biolumin. Chemilumin.	0884-3996
98	Acta medica Okayama	0417611	Acta Med. Okayama	0386-300X
99	Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research	8610640	J. Bone Miner. Res.	0884-0431
100	Acta medica Philippina	0312677	Acta Med Philipp	0001-6071
101	Acta medica Polona	0370326	Acta Med Pol	0001-608X
102	Acta medica portuguesa	7906803	Acta Med Port	0870-399X
103	Acta medica Scandinavica	0370330	Acta Med Scand	0001-6101
